longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,price
-122.66,38.47,23.0,2246.0,437.0,1035.0,386.0,3.7617,172600.0
-121.14,40.29,17.0,1944.0,394.0,384.0,172.0,1.6875,111500.0
-118.07,33.89,29.0,1138.0,217.0,964.0,222.0,4.537,185300.0
-118.25,33.99,41.0,2215.0,544.0,2054.0,480.0,1.5272,100300.0
-122.54,37.62,35.0,1481.0,277.0,747.0,254.0,4.4286,262100.0
-118.39,33.87,19.0,3303.0,584.0,1329.0,569.0,7.521,340400.0
-121.81,37.38,29.0,570.0,76.0,244.0,72.0,12.3292,416700.0
-122.36,37.96,31.0,1157.0,276.0,956.0,232.0,1.5347,80400.0
-121.99,37.34,26.0,3637.0,933.0,2249.0,905.0,3.9625,262900.0
-122.49,37.76,52.0,2564.0,502.0,1092.0,459.0,3.5302,329600.0
-120.92,37.65,23.0,505.0,124.0,163.0,129.0,1.3696,275000.0
-118.84,34.11,12.0,7508.0,1058.0,2484.0,965.0,5.8788,500001.0
-118.41,34.03,20.0,4374.0,1311.0,2165.0,1185.0,3.6019,463600.0
-117.74,34.06,48.0,2438.0,599.0,1508.0,548.0,2.8983,129200.0
-118.03,33.81,26.0,3635.0,567.0,1779.0,543.0,5.7089,237400.0
-118.29,34.08,43.0,3056.0,1345.0,3920.0,1304.0,1.925,300000.0
-118.28,34.24,29.0,3390.0,580.0,1543.0,576.0,5.6184,316900.0
-118.13,34.2,46.0,1271.0,236.0,573.0,210.0,4.9312,240200.0
-122.07,37.92,26.0,3872.0,739.0,1629.0,684.0,4.4312,225000.0
-117.25,32.74,40.0,2186.0,549.0,953.0,515.0,2.8007,257100.0
-118.29,34.1,39.0,2196.0,582.0,1165.0,538.0,2.9417,254200.0
-122.44,37.8,52.0,2865.0,593.0,1029.0,577.0,5.2539,500001.0
-118.37,34.16,10.0,2606.0,748.0,1373.0,680.0,3.6128,225000.0
-118.39,33.86,34.0,2361.0,442.0,915.0,437.0,5.687,392400.0
-119.86,36.8,18.0,2536.0,516.0,1196.0,466.0,2.5595,67900.0
-118.18,34.63,19.0,3562.0,606.0,1677.0,578.0,4.1573,228100.0
-118.2,34.03,41.0,1292.0,334.0,1150.0,322.0,1.925,135200.0
-122.41,37.8,52.0,2450.0,741.0,1415.0,664.0,2.8229,375000.0
-122.42,37.8,52.0,4079.0,1112.0,1466.0,1024.0,4.5913,500001.0
-115.98,33.32,8.0,240.0,46.0,63.0,24.0,1.4688,53800.0
-118.15,33.88,24.0,4232.0,1092.0,2688.0,1035.0,2.52,146000.0
-118.13,34.18,52.0,3094.0,519.0,1309.0,488.0,6.4223,310900.0
-118.19,34.06,44.0,1734.0,364.0,1133.0,351.0,2.5132,163100.0
-122.11,37.7,19.0,2693.0,789.0,1765.0,724.0,2.4206,137500.0
-117.27,33.68,8.0,26322.0,4072.0,9360.0,3361.0,5.3238,228900.0
-122.15,37.45,52.0,2117.0,353.0,734.0,328.0,6.767,500001.0
-117.9,34.09,34.0,1562.0,272.0,825.0,266.0,4.125,220800.0
-118.41,34.0,30.0,3550.0,934.0,3738.0,880.0,3.191,271200.0
-118.43,37.4,19.0,2460.0,405.0,1225.0,425.0,4.1576,141500.0
-119.11,36.29,18.0,1666.0,294.0,859.0,301.0,2.6065,93800.0
-116.9,33.65,15.0,652.0,149.0,248.0,97.0,2.1071,93800.0
-118.5,34.19,35.0,2720.0,490.0,1158.0,445.0,5.0796,228300.0
-118.23,33.94,35.0,1090.0,267.0,1339.0,263.0,2.1607,97600.0
-117.99,33.89,21.0,5195.0,1020.0,2539.0,988.0,4.5033,160500.0
-117.61,34.08,12.0,4427.0,822.0,2400.0,843.0,4.7147,158700.0
-117.92,33.78,35.0,1654.0,323.0,1065.0,354.0,3.4837,186500.0
-117.44,33.93,34.0,1577.0,272.0,880.0,284.0,4.6327,116000.0
-117.86,33.75,39.0,275.0,87.0,554.0,103.0,3.5972,158000.0
-118.1,33.82,36.0,1930.0,354.0,915.0,328.0,5.2713,244400.0
-118.11,33.83,36.0,1784.0,303.0,964.0,299.0,4.2703,220900.0
-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0
-122.2,37.47,37.0,1053.0,266.0,939.0,267.0,3.1989,320800.0
-121.84,39.76,14.0,2351.0,620.0,1215.0,548.0,2.3155,102300.0
-117.08,32.7,36.0,2103.0,390.0,1279.0,392.0,2.4135,97000.0
-118.3,34.0,52.0,1296.0,246.0,853.0,238.0,3.05,111600.0
-116.76,32.84,16.0,3311.0,702.0,1627.0,624.0,3.1196,187200.0
-121.27,38.12,37.0,2232.0,504.0,1455.0,471.0,2.5587,87800.0
-117.93,33.76,21.0,2884.0,662.0,2613.0,645.0,4.05,177900.0
-119.26,34.27,42.0,918.0,204.0,394.0,204.0,4.0069,214300.0
-117.87,34.06,25.0,3652.0,470.0,1525.0,484.0,10.1248,428500.0
-118.13,33.84,35.0,3008.0,674.0,1584.0,671.0,3.5465,213200.0
-118.27,34.46,10.0,2184.0,405.0,1119.0,370.0,4.7437,294000.0
-122.23,37.8,52.0,783.0,184.0,488.0,186.0,1.9375,126600.0
-118.17,34.05,39.0,962.0,229.0,999.0,221.0,3.375,126000.0
-121.43,37.73,40.0,1718.0,391.0,1312.0,388.0,2.9955,134700.0
-117.24,32.74,44.0,1686.0,285.0,712.0,298.0,4.0268,298600.0
-122.74,38.83,12.0,4515.0,909.0,1554.0,528.0,3.3531,90800.0
-115.51,33.12,21.0,1024.0,218.0,890.0,232.0,2.101,46700.0
-121.9,37.28,34.0,4613.0,749.0,2050.0,725.0,5.3922,302900.0
-118.16,34.68,17.0,2994.0,832.0,1571.0,695.0,2.5902,85400.0
-118.3,33.98,48.0,2010.0,445.0,1208.0,404.0,1.6611,95800.0
-118.36,33.99,45.0,2005.0,368.0,909.0,364.0,4.6406,268900.0
-122.18,39.55,28.0,1471.0,259.0,673.0,246.0,3.25,81600.0
-124.3,41.8,19.0,2672.0,552.0,1298.0,478.0,1.9797,85800.0
-118.19,33.95,42.0,1651.0,463.0,1559.0,436.0,2.3882,148100.0
-118.21,34.07,42.0,902.0,318.0,1312.0,323.0,1.9375,168800.0
-117.81,33.68,8.0,1964.0,413.0,913.0,406.0,5.1583,192200.0
-121.88,38.03,52.0,1225.0,250.0,725.0,231.0,2.0,101400.0
-116.93,32.79,19.0,3354.0,699.0,1948.0,682.0,3.0192,142300.0
-117.1,32.68,47.0,1044.0,274.0,1003.0,280.0,1.7802,97800.0
-118.49,34.24,34.0,1971.0,316.0,917.0,307.0,6.0965,262300.0
-118.39,37.37,25.0,3295.0,824.0,1477.0,770.0,1.8325,105800.0
-117.92,33.77,28.0,3614.0,960.0,3282.0,889.0,3.522,190300.0
-118.31,34.09,42.0,1951.0,846.0,2500.0,813.0,1.5195,218200.0
-121.53,39.19,27.0,2080.0,412.0,1082.0,382.0,2.5495,98300.0
-118.34,34.16,46.0,1396.0,294.0,608.0,246.0,3.692,244500.0
-121.59,39.14,41.0,1492.0,350.0,804.0,353.0,1.684,71300.0
-118.38,33.87,23.0,2387.0,418.0,1008.0,415.0,5.8518,337900.0
-118.26,34.01,38.0,697.0,208.0,749.0,206.0,1.4653,118800.0
-118.44,34.25,33.0,1121.0,231.0,1038.0,236.0,4.8958,173700.0
-121.28,38.14,37.0,3278.0,623.0,1431.0,575.0,3.3987,99500.0
-122.15,37.44,52.0,2063.0,320.0,774.0,309.0,7.2543,500001.0
-121.79,36.85,28.0,1049.0,235.0,705.0,208.0,2.7321,150000.0
-117.93,34.08,36.0,1788.0,317.0,1139.0,320.0,4.125,185800.0
-121.43,38.46,18.0,1378.0,235.0,818.0,262.0,4.0625,100300.0
-122.07,37.94,30.0,1260.0,276.0,707.0,221.0,2.892,220800.0
-118.25,33.79,34.0,1349.0,371.0,1716.0,380.0,2.7143,138100.0
-119.29,34.29,33.0,3854.0,982.0,1835.0,894.0,3.5294,323900.0
-117.22,33.19,16.0,3004.0,656.0,1948.0,606.0,2.7019,216900.0
-118.25,34.11,43.0,2230.0,583.0,1667.0,543.0,2.8667,217800.0
-121.42,37.74,38.0,773.0,147.0,320.0,134.0,2.825,152500.0
-118.31,36.94,35.0,2563.0,530.0,861.0,371.0,2.325,80600.0
-118.35,33.93,35.0,1050.0,252.0,918.0,236.0,1.7344,146900.0
-122.88,38.34,20.0,3404.0,628.0,1641.0,585.0,5.0574,276200.0
-118.85,34.27,50.0,187.0,33.0,130.0,35.0,3.3438,500001.0
-118.26,34.07,46.0,2341.0,703.0,2371.0,648.0,2.4038,181700.0
-121.31,38.61,17.0,992.0,151.0,316.0,159.0,6.6238,326700.0
-120.61,37.03,34.0,1841.0,354.0,1019.0,356.0,1.7841,67500.0
-117.09,32.66,46.0,844.0,147.0,423.0,161.0,3.375,136300.0
-117.97,33.74,16.0,1735.0,380.0,784.0,360.0,4.2566,139200.0
-121.76,38.94,48.0,540.0,110.0,234.0,74.0,3.6111,67500.0
-118.32,33.75,37.0,1080.0,135.0,366.0,142.0,11.6677,500001.0
-121.83,37.32,26.0,1125.0,210.0,943.0,214.0,4.825,181000.0
-118.49,34.28,27.0,2535.0,389.0,1071.0,386.0,6.8695,319400.0
-120.99,37.65,44.0,2848.0,623.0,1408.0,576.0,2.1487,86600.0
-119.78,38.69,17.0,1364.0,282.0,338.0,152.0,2.45,117600.0
-121.81,37.26,14.0,3379.0,683.0,1465.0,620.0,4.0547,236200.0
-122.04,37.53,25.0,4458.0,922.0,2998.0,890.0,3.9667,218500.0
-117.24,32.79,18.0,2539.0,616.0,964.0,526.0,3.4306,275000.0
-122.03,37.98,16.0,1209.0,477.0,627.0,482.0,1.3894,156300.0
-122.41,37.8,52.0,4088.0,946.0,1906.0,863.0,3.6065,433300.0
-122.07,37.65,31.0,3300.0,790.0,2181.0,740.0,3.016,161800.0
-117.12,32.75,15.0,2671.0,724.0,1800.0,646.0,2.1394,106700.0
-122.53,37.87,20.0,1814.0,282.0,658.0,253.0,7.9977,400000.0
-114.57,33.64,14.0,1501.0,337.0,515.0,226.0,3.1917,73400.0
-117.65,34.12,27.0,2298.0,340.0,1071.0,369.0,6.5587,239000.0
-118.05,33.98,41.0,1406.0,428.0,1174.0,390.0,2.0147,137500.0
-117.35,33.17,16.0,4595.0,1341.0,2849.0,1197.0,2.478,185600.0
-121.95,37.24,32.0,1382.0,239.0,705.0,251.0,6.0957,405400.0
-121.81,37.29,15.0,5957.0,1037.0,3838.0,997.0,6.2907,253100.0
-121.35,38.68,18.0,7923.0,1558.0,3789.0,1473.0,3.5403,98600.0
-117.96,34.08,39.0,1076.0,338.0,1242.0,332.0,2.2679,151800.0
-117.9,33.63,28.0,2370.0,352.0,832.0,347.0,7.1148,500001.0
-122.14,37.85,27.0,9147.0,1276.0,3371.0,1269.0,7.3267,389900.0
-121.32,38.01,36.0,391.0,74.0,171.0,79.0,2.7045,102800.0
-117.7,33.63,16.0,4428.0,745.0,1525.0,682.0,5.2325,286800.0
-119.72,36.75,27.0,1691.0,282.0,869.0,337.0,3.9514,86900.0
-122.45,37.77,52.0,2645.0,626.0,1275.0,553.0,3.35,492900.0
-116.91,32.83,16.0,5203.0,898.0,2515.0,862.0,4.105,174400.0
-118.4,34.09,45.0,2686.0,283.0,857.0,259.0,15.0001,500001.0
-118.19,33.94,45.0,1871.0,371.0,1315.0,382.0,3.3661,160800.0
-118.38,33.81,41.0,1889.0,301.0,802.0,278.0,6.015,488500.0
-121.21,37.8,31.0,699.0,186.0,460.0,170.0,2.7443,94200.0
-118.05,33.86,16.0,2851.0,626.0,1985.0,603.0,5.4089,265600.0
-121.24,38.7,13.0,3243.0,488.0,1585.0,480.0,5.7133,166800.0
-122.64,38.23,52.0,2156.0,469.0,1070.0,467.0,3.3011,252300.0
-119.03,34.22,24.0,3421.0,656.0,2220.0,645.0,4.7831,214200.0
-117.41,33.96,27.0,2341.0,418.0,1272.0,415.0,3.0208,112700.0
-117.76,33.53,18.0,3224.0,561.0,1310.0,580.0,8.4614,391900.0
-117.76,33.79,4.0,8974.0,1268.0,3754.0,1241.0,8.2653,374000.0
-122.18,37.45,37.0,5257.0,1360.0,2128.0,1264.0,4.0,394300.0
-117.1,32.77,49.0,4449.0,711.0,1606.0,709.0,5.7768,281600.0
-117.9,33.88,34.0,1396.0,245.0,661.0,261.0,4.675,215400.0
-121.02,37.64,42.0,1437.0,307.0,1035.0,284.0,2.1036,88300.0
-122.1,37.36,32.0,1433.0,199.0,498.0,201.0,9.3586,500001.0
-119.71,34.42,31.0,1643.0,499.0,1253.0,499.0,3.1563,267000.0
-118.44,34.17,29.0,2685.0,642.0,1085.0,599.0,3.2763,279400.0
-118.09,33.7,13.0,4770.0,969.0,2261.0,972.0,5.883,295100.0
-118.39,34.06,52.0,1213.0,194.0,503.0,194.0,8.0095,500001.0
-122.34,41.21,26.0,178.0,40.0,55.0,25.0,2.0375,57500.0
-121.04,37.6,27.0,958.0,184.0,580.0,177.0,2.1875,82800.0
-117.38,34.08,11.0,5684.0,1139.0,3095.0,1036.0,3.6875,112600.0
-121.46,37.73,20.0,2039.0,373.0,862.0,330.0,5.1629,222900.0
-118.31,34.12,39.0,3895.0,561.0,1271.0,536.0,8.0073,500001.0
-118.71,34.3,20.0,1586.0,187.0,699.0,209.0,6.5483,335000.0
-118.2,33.88,40.0,1699.0,346.0,1188.0,329.0,4.2083,147300.0
-118.11,33.94,32.0,2098.0,378.0,1036.0,385.0,5.0258,255400.0
-121.03,37.69,5.0,4034.0,771.0,1967.0,742.0,3.8065,146000.0
-117.12,33.14,16.0,1710.0,272.0,1025.0,267.0,4.1641,163600.0
-118.16,33.9,28.0,2410.0,616.0,2399.0,594.0,2.7339,156700.0
-117.35,34.04,14.0,2991.0,522.0,1729.0,537.0,3.5139,146800.0
-121.26,38.11,4.0,2058.0,366.0,933.0,316.0,4.2448,150900.0
-119.2,36.3,19.0,1427.0,311.0,1026.0,293.0,2.625,57000.0
-118.75,34.27,20.0,3495.0,449.0,1629.0,428.0,5.8096,264400.0
-121.9,37.29,36.0,1389.0,225.0,623.0,223.0,6.6331,283300.0
-121.79,38.66,15.0,6809.0,1052.0,3060.0,1060.0,5.3064,165000.0
-124.17,40.8,52.0,1557.0,344.0,758.0,319.0,1.8529,62500.0
-122.19,37.76,26.0,1293.0,297.0,984.0,303.0,1.9479,85800.0
-117.96,33.75,14.0,2509.0,611.0,1814.0,547.0,2.7986,176100.0
-118.19,34.11,38.0,1158.0,309.0,1051.0,322.0,2.286,169300.0
-122.24,37.77,52.0,1711.0,386.0,885.0,373.0,3.6417,206300.0
-118.25,33.9,38.0,1201.0,223.0,733.0,206.0,3.3804,105800.0
-117.35,33.96,25.0,2396.0,316.0,951.0,314.0,8.2405,235200.0
-118.16,34.14,41.0,3039.0,482.0,973.0,446.0,7.4817,500001.0
-118.29,33.84,11.0,2274.0,617.0,1897.0,622.0,3.5094,162900.0
-121.91,37.93,13.0,1610.0,198.0,703.0,217.0,8.7059,329400.0
-117.3,34.18,28.0,2685.0,425.0,1304.0,420.0,4.3676,111100.0
-120.42,34.94,32.0,2844.0,551.0,1337.0,516.0,2.7188,133700.0
-119.78,36.3,30.0,1846.0,391.0,1255.0,352.0,2.1681,66600.0
-118.12,33.81,36.0,1665.0,291.0,721.0,294.0,4.6875,250700.0
-121.9,37.66,18.0,7397.0,1137.0,3126.0,1115.0,6.4994,323000.0
-122.24,37.82,52.0,1509.0,225.0,674.0,244.0,4.9306,313400.0
-121.37,36.89,21.0,2471.0,473.0,1753.0,451.0,4.025,293800.0
-122.32,37.56,44.0,537.0,173.0,355.0,194.0,2.8571,250000.0
-119.29,36.34,10.0,1832.0,455.0,1664.0,429.0,2.0227,53300.0
-118.5,34.02,35.0,2914.0,934.0,1334.0,870.0,2.9934,350000.0
-117.17,32.78,17.0,3845.0,1051.0,3102.0,944.0,2.3658,164100.0
-118.23,34.11,33.0,2612.0,646.0,2496.0,606.0,3.133,156000.0
-118.28,33.97,31.0,2017.0,566.0,2063.0,521.0,1.9219,107000.0
-118.15,33.92,40.0,1335.0,281.0,804.0,282.0,4.3194,198400.0
-122.18,37.47,37.0,2848.0,328.0,852.0,327.0,13.367,500001.0
-117.99,33.66,14.0,3155.0,653.0,951.0,575.0,3.0625,268800.0
-117.77,33.71,13.0,1939.0,247.0,928.0,244.0,8.1111,379800.0
-121.91,37.26,32.0,3776.0,620.0,1790.0,612.0,5.4675,261100.0
-122.16,37.76,36.0,2781.0,574.0,1438.0,519.0,2.4598,155500.0
-115.59,32.85,20.0,1608.0,274.0,862.0,248.0,4.875,90800.0
-118.19,33.98,40.0,973.0,272.0,1257.0,258.0,2.8214,158000.0
-118.19,34.14,47.0,2525.0,523.0,1514.0,498.0,4.3359,209200.0
-117.23,34.12,6.0,4464.0,1093.0,2364.0,952.0,2.3848,81600.0
-117.89,33.84,33.0,1587.0,374.0,1159.0,331.0,2.8021,195100.0
-122.28,37.82,52.0,1387.0,341.0,1074.0,304.0,1.2171,80300.0
-118.1,34.02,37.0,1022.0,232.0,653.0,238.0,3.0625,189400.0
-117.91,33.91,34.0,1763.0,303.0,894.0,297.0,5.0096,221700.0
-122.33,37.55,33.0,2199.0,312.0,827.0,319.0,6.1349,500001.0
-117.74,33.62,16.0,4134.0,740.0,2103.0,745.0,5.6877,231400.0
-122.18,37.89,18.0,4845.0,735.0,1634.0,734.0,8.1489,499000.0
-117.25,34.14,19.0,5163.0,1229.0,2680.0,1141.0,2.2482,114500.0
-118.29,34.25,19.0,1988.0,594.0,1399.0,527.0,2.4727,175000.0
-121.44,36.51,31.0,1636.0,380.0,1468.0,339.0,3.2219,114700.0
-117.81,33.79,23.0,3114.0,610.0,2045.0,577.0,3.75,211900.0
-118.25,34.14,25.0,5980.0,1856.0,5217.0,1772.0,2.506,184500.0
-120.06,37.02,13.0,6301.0,1080.0,3840.0,1033.0,3.5258,84900.0
-118.03,34.14,44.0,1446.0,250.0,721.0,243.0,4.7308,352200.0
-118.31,34.03,34.0,2041.0,517.0,1479.0,495.0,2.1173,156600.0
-119.12,35.39,13.0,1264.0,202.0,552.0,187.0,4.5903,94300.0
-117.85,34.11,25.0,9255.0,1659.0,4944.0,1627.0,4.5708,223000.0
-117.95,34.04,27.0,2610.0,846.0,2296.0,750.0,2.274,150800.0
-122.23,37.81,52.0,1433.0,229.0,612.0,213.0,4.7708,314700.0
-118.43,33.96,38.0,1104.0,216.0,415.0,163.0,6.1985,422000.0
-117.76,33.72,11.0,4508.0,618.0,1993.0,573.0,10.4498,386100.0
-118.21,33.82,43.0,1005.0,199.0,723.0,191.0,4.3424,162500.0
-119.68,34.42,38.0,1452.0,354.0,1139.0,340.0,2.707,236800.0
-118.03,34.16,36.0,1640.0,239.0,693.0,253.0,6.6888,500001.0
-123.08,38.38,28.0,3297.0,676.0,923.0,373.0,3.9167,232600.0
-122.3,37.53,40.0,1833.0,308.0,751.0,306.0,6.0,384200.0
-122.33,37.55,51.0,2565.0,332.0,870.0,309.0,9.3694,500001.0
-118.47,34.0,37.0,2586.0,765.0,1801.0,737.0,2.6042,305800.0
-122.15,37.72,31.0,1616.0,372.0,739.0,379.0,2.9097,210900.0
-119.68,36.81,16.0,2668.0,454.0,1536.0,457.0,3.9792,88900.0
-118.2,33.82,21.0,2251.0,452.0,913.0,420.0,4.6042,272200.0
-118.4,33.78,26.0,5005.0,776.0,2357.0,790.0,8.5421,500001.0
-118.49,34.06,42.0,2861.0,360.0,829.0,310.0,15.0001,500001.0
-117.35,34.12,22.0,5640.0,889.0,3157.0,887.0,4.1581,126500.0
-117.05,32.59,26.0,1919.0,345.0,1326.0,341.0,4.2679,131900.0
-117.78,33.87,16.0,5609.0,952.0,2624.0,934.0,5.3307,169600.0
-117.76,34.13,8.0,16759.0,2274.0,7249.0,2156.0,7.4837,358700.0
-117.23,32.8,28.0,3379.0,918.0,1849.0,849.0,3.0293,241700.0
-117.13,32.73,43.0,2706.0,667.0,1531.0,614.0,2.1513,145000.0
-119.02,35.32,14.0,2927.0,588.0,1821.0,561.0,3.3529,82600.0
-122.26,37.54,16.0,2118.0,333.0,770.0,318.0,7.2477,376000.0
-117.13,34.39,29.0,2251.0,464.0,855.0,315.0,3.4183,104100.0
-121.22,38.67,20.0,1412.0,226.0,700.0,227.0,4.05,130700.0
-117.15,32.76,43.0,2361.0,489.0,824.0,470.0,3.4196,302200.0
-117.99,33.72,14.0,2127.0,537.0,1338.0,475.0,3.628,188500.0
-117.24,32.75,36.0,2831.0,669.0,1279.0,660.0,2.9896,252700.0
-122.08,37.39,44.0,1498.0,430.0,848.0,400.0,2.8438,307100.0
-117.9,33.61,41.0,1521.0,328.0,527.0,275.0,4.0764,500001.0
-121.68,37.98,19.0,3388.0,599.0,1707.0,575.0,3.6411,162800.0
-121.94,36.97,31.0,1738.0,422.0,746.0,355.0,2.5172,330800.0
-117.16,32.72,24.0,1232.0,663.0,1184.0,626.0,1.0391,162500.0
-119.06,35.32,15.0,3944.0,746.0,2355.0,757.0,3.569,70700.0
-117.87,34.09,36.0,1267.0,191.0,640.0,200.0,5.2405,220000.0
-118.09,33.71,19.0,1397.0,271.0,491.0,197.0,8.7397,500001.0
-117.05,32.8,16.0,1561.0,378.0,574.0,350.0,3.0035,94600.0
-123.35,39.42,18.0,1619.0,346.0,904.0,295.0,2.1625,77200.0
-119.0,35.31,37.0,1337.0,275.0,767.0,273.0,1.6522,53300.0
-121.46,38.48,8.0,3593.0,659.0,1710.0,530.0,3.5227,93100.0
-117.85,33.74,26.0,2589.0,1003.0,5756.0,983.0,2.1992,170800.0
-120.0,38.93,17.0,8005.0,1382.0,999.0,383.0,3.9722,313400.0
-117.65,33.49,16.0,2223.0,454.0,628.0,382.0,4.3603,248800.0
-118.35,34.15,35.0,2245.0,393.0,783.0,402.0,4.1544,500001.0
-117.88,33.74,19.0,2261.0,642.0,3545.0,635.0,2.5224,148500.0
-121.72,38.8,36.0,1069.0,228.0,567.0,190.0,1.9559,78400.0
-122.48,37.75,51.0,2095.0,410.0,1126.0,429.0,4.4,318400.0
-121.38,38.41,10.0,3425.0,629.0,1538.0,587.0,4.45,138700.0
-116.97,33.74,20.0,3674.0,792.0,1498.0,758.0,2.2161,76900.0
-118.85,34.21,29.0,2195.0,414.0,1360.0,401.0,3.4773,206700.0
-122.46,37.78,52.0,3088.0,727.0,1636.0,662.0,2.8553,360700.0
-122.63,38.94,18.0,3844.0,969.0,1832.0,845.0,1.125,81800.0
-124.17,40.8,52.0,1606.0,419.0,891.0,367.0,1.585,75500.0
-118.37,33.82,32.0,2815.0,607.0,1338.0,609.0,4.5687,381200.0
-117.34,34.02,28.0,2683.0,708.0,2047.0,636.0,2.275,85400.0
-117.91,33.77,26.0,5556.0,1398.0,4545.0,1333.0,3.0902,190400.0
-122.45,37.73,52.0,1350.0,241.0,752.0,246.0,3.2448,266200.0
-122.45,37.79,52.0,3069.0,579.0,1107.0,536.0,5.5634,500001.0
-120.48,39.66,32.0,1516.0,289.0,304.0,131.0,1.8839,71000.0
-122.4,40.51,20.0,1750.0,352.0,834.0,340.0,2.485,100600.0
-117.06,34.0,33.0,1575.0,326.0,879.0,282.0,2.5357,94400.0
-118.47,34.01,27.0,1782.0,471.0,837.0,422.0,3.7727,413000.0
-121.77,39.66,20.0,3759.0,609.0,1705.0,600.0,4.712,158600.0
-117.91,34.08,35.0,1443.0,266.0,861.0,262.0,3.5795,186900.0
-121.85,36.59,42.0,891.0,203.0,525.0,212.0,3.3156,186300.0
-122.38,37.76,52.0,248.0,68.0,124.0,51.0,1.4886,450000.0
-119.23,36.45,36.0,1508.0,323.0,1283.0,312.0,2.1205,60000.0
-118.36,33.89,34.0,760.0,174.0,723.0,198.0,5.3169,227600.0
-121.98,37.36,35.0,1293.0,223.0,701.0,216.0,7.8543,281900.0
